Time (s),Terminal Voltage Vt (V),State of Charge Z (%),Polarization Voltage Vp (V)
0,4,100,-0
1,4.14006282841201,99.4409606401306,0.0116647706555754
2,4.16330187465681,99.3122124206953,0.0145911176030285
3,4.16683625463544,99.2672384232509,0.0151077626262293
4,4.16693656912027,99.230668798923,0.0152461079222027
5,4.16632131611179,99.1878929742358,0.0152958422849838
6,4.1655809134685,99.1413117111691,0.0155324671951562
7,4.16499953683985,99.1072238088491,0.0154429232882877
8,4.16457385106976,99.0881931460724,0.0146508389960288
9,4.16396754204136,99.0485907032456,0.0150714334574908
10,4.16381869747566,99.0429318094666,0.0144725607817714
11,4.16347620137435,99.0209603493816,0.0146852330712802
12,4.16302660588929,98.9925531878701,0.015012506511968
13,4.16251923544714,98.9654616975346,0.0148055573092161
14,4.16187619935405,98.9248783664997,0.0152279463426117
15,4.16132001618241,98.8909842574166,0.0153473095743575
16,4.16054478522353,98.8428862014078,0.0157513766003631
17,4.16051635859384,98.8497587508825,0.0143815994303547
18,4.16011192307775,98.8208512123795,0.0150020557546847
19,4.15986101801339,98.8119596747265,0.0143015272795432
20,4.15932611749843,98.771027971792,0.0154549309243132
21,4.15873263222767,98.7379984337258,0.0154194203414936
22,4.15820804245228,98.7117174893118,0.0149201255997494
23,4.1574565935948,98.660878605115,0.0157628377105341
24,4.15690074513169,98.6322728341847,0.0152658473301857
25,4.15643612377875,98.6061903270003,0.0150360934280912
26,4.1562196232551,98.5951559823156,0.0145918067308525
27,4.1561289387609,98.5944575049742,0.0139153797292725
28,4.15558023274612,98.5539288776002,0.0150482939908969
29,4.1552526843326,98.5354865242542,0.0149581471743302
30,4.15504680823268,98.5292680324673,0.0142372273138913
31,4.15490037119363,98.5169830848115,0.0144948696503903
32,4.15433352180754,98.4826359558206,0.0148748667191882
33,4.15400810688147,98.4658061438193,0.0145662939019821
34,4.15346538111594,98.4295383686269,0.01513317666071
35,4.15269398638241,98.38399685686,0.0153772341222174
36,4.15226565639658,98.3577954696297,0.0153109577166748
37,4.15161622315726,98.3166028936847,0.015774145882679
38,4.15113110398015,98.2927172291944,0.0152199336492993
39,4.15074922625038,98.268828177038,0.0152853801908415
40,4.14969078731593,98.200377914848,0.0163886153538398
41,4.14924633050164,98.1846469459358,0.0150117627506943
42,4.14898777342534,98.1751525329919,0.0140958125393458
43,4.14869604126566,98.1555097314225,0.0142037499306444
44,4.14869817885955,98.1562968262861,0.0139169419570388
45,4.14837657609163,98.1332277145875,0.0145216843533674
46,4.14800141281258,98.1051655673221,0.01533450580223
47,4.14737416408664,98.0711168566828,0.0152788040792045
48,4.146982080423,98.049229588694,0.0150645773007835
49,4.14664622715094,98.0249438596738,0.0154390590253034
50,4.1463691356495,98.0127047009106,0.015018563069531
51,4.145986819805,97.9936697191111,0.0146149529032383
52,4.14545779205289,97.9587777625133,0.0150840829163933
53,4.14511510860951,97.9405275949703,0.0148299375244551
54,4.14500082937358,97.9390687807863,0.0140704234096971
55,4.14465539835482,97.9146453735909,0.01461794913494
56,4.14388616509257,97.8637263716789,0.0155214926498068
57,4.14362969122056,97.8552882964886,0.014625335070322
58,4.14275532490216,97.7973883749344,0.0156377025399129
59,4.14264787420776,97.8007529596418,0.0141852972352833
60,4.14222301400645,97.7703545246848,0.0148120775785571
61,4.14128845586777,97.7113196774545,0.0156419890543432
62,4.14027307536592,97.6517064241016,0.0158316578514344
63,4.14020175174218,97.6562766999587,0.0142869220660338
64,4.13957582481056,97.6112171094897,0.0153345566568249
65,4.13922650225133,97.5924034248408,0.0150624793785666
66,4.13852705778776,97.5517883550762,0.0151780087219698
67,4.13781824726974,97.5058902080444,0.0157024960764018
68,4.13711201790166,97.466056074525,0.0155623800892998
69,4.13648904392536,97.4315352110478,0.0153009718869537
70,4.13589822371863,97.3983682364249,0.0150648392859884
71,4.13545081153245,97.375136883188,0.0146027417574942
72,4.13512910019615,97.353950887596,0.0146916450961014
73,4.13461466025617,97.324470481941,0.0147026505501132
74,4.13439873051331,97.313380308602,0.0143199442651265
75,4.13384630434053,97.2755853839932,0.0150608587616975
76,4.1334481886637,97.2577717874055,0.0144406184187995
77,4.13309855142596,97.2345350843935,0.0146426579840927
78,4.13262201115939,97.1989663224032,0.0156136580608067
79,4.13213817897651,97.1790562289711,0.0147715970191148
80,4.13128115442548,97.1215731004705,0.0157413090774943
81,4.13082606872026,97.1035975483223,0.0146404033022883
82,4.13062386051266,97.0909153069235,0.014421065031067
83,4.13002977313846,97.0517716659851,0.0150337789196303
84,4.1297465777016,97.0354930116714,0.0148903820612772
85,4.12893026671578,96.9819186677635,0.0158274931742315
86,4.12858159999907,96.9702580304596,0.0146813406038644
87,4.12769797557236,96.9155465957626,0.0151996192777842
88,4.12757284234327,96.9116841234025,0.014412299559446
89,4.12743608703591,96.9023324856443,0.0144198983774855
90,4.1271887468567,96.8873836651315,0.0144590377632323
91,4.12615904690015,96.8193387517678,0.015849802646594
92,4.12582116469387,96.8092954788195,0.0145583197113925
93,4.12533229723552,96.7760001763144,0.0149912686805221
94,4.12498008153796,96.7584882700525,0.0145791908680831
95,4.12477501349033,96.7468492793366,0.0143721112877417
96,4.12433108242808,96.7178627472867,0.0148036803379238
97,4.12404644949975,96.7017013284652,0.014686734646173
98,4.12382234315653,96.6856174129396,0.0149573533456068
99,4.12338509622249,96.6643298246093,0.0145976183109759
100,4.12297180956516,96.6343349684644,0.0152290494400477
101,4.12236790367709,96.5985167829797,0.0154283462833074
102,4.12141114413276,96.5414926185563,0.0158031909236224
103,4.12060110954442,96.4971387786199,0.0154306380900357
104,4.12015063944898,96.4727414578035,0.0149523532966075
105,4.11973171212094,96.4520688537448,0.0143678813352117
106,4.11916072454032,96.4084764011947,0.0155342056057843
107,4.11872222824792,96.3864461609733,0.0151266478178713
108,4.11812031980712,96.3504707132182,0.0152444077623778
109,4.11771566858809,96.330971576146,0.01467211566106
110,4.11727601092911,96.306122810395,0.0145321637530488
111,4.11656332956704,96.2559558900366,0.0155753797182569
112,4.11591650659404,96.2188805533072,0.0155562553546589
113,4.11556388202278,96.204003097139,0.01473824919543
114,4.11515435800822,96.1771144092032,0.0149772061840981
115,4.11438254181633,96.1329860658698,0.015088090103371
116,4.11413783433046,96.1183795592873,0.0148507946993377
117,4.11339631484261,96.0704497196772,0.0155417336476427
118,4.11281436132346,96.0368135584178,0.0154695704947097
119,4.11244790641427,96.018177528175,0.0150135306257725
120,4.11205303191367,95.9930389123509,0.0151754672268117
121,4.11125860508095,95.942351614779,0.0158593387113323
122,4.11062665450731,95.9082089069413,0.0155564104414679
123,4.11030843716442,95.8917820095909,0.0150857771037412
124,4.10969370452264,95.8534671576347,0.0153829612957646
125,4.10955617183482,95.850915911441,0.0144989875321521
126,4.10853522202183,95.7791081679814,0.0162579652976192
127,4.10810462961163,95.762423433385,0.0151484573982983
128,4.10750145913792,95.7284532366507,0.0149864585496549
129,4.10722949448604,95.714487414099,0.0145498154462275
130,4.10672149509019,95.6797263990512,0.0151415124963882
131,4.10634556003852,95.6620241556553,0.0146330475127285
132,4.10589623761665,95.6347528463276,0.0147382113476034
133,4.10506921381961,95.5811219644244,0.0155618382381076
134,4.10468772116689,95.5611922525074,0.0150688888503064
135,4.10447126912845,95.5543116126369,0.0142529278984232
136,4.10395574411139,95.5163225701376,0.015191405938693
137,4.10308192264788,95.4610060839756,0.0159577682900664
138,4.1024619052502,95.4311197239877,0.0152033452310972
139,4.10150478834167,95.3673041268015,0.0162147120017139
140,4.10117269795752,95.3585222743029,0.0146865220018623
141,4.10060850272168,95.3245693215264,0.0147227623061489
142,4.1006106339431,95.3291943947998,0.013874798928892
143,4.10027938085903,95.3019057041648,0.0147899758169731
144,4.09975001431388,95.2706668682683,0.0150386712997666
145,4.09887804646685,95.2152414467675,0.0157963272708232
146,4.0979242093075,95.1580134745592,0.0160727384029972
147,4.09770742035249,95.1545061571317,0.0146315055525552
148,4.09724690504284,95.1212861146273,0.0152667651917577
149,4.09684076138358,95.098744978046,0.0150932288388853
150,4.09574643980875,95.0278368425094,0.0162724037110164
151,4.09493392018318,94.9845034719499,0.0158317808036457
152,4.09441609314263,94.9567447402275,0.0152921362958781
153,4.09429467771162,94.9502209426817,0.0148379472729547
154,4.09388709225074,94.9247478676129,0.0150758295979873
155,4.09329145496944,94.8884882944993,0.0153632341942719
156,4.09271372637034,94.8575932045674,0.0150959245994619
157,4.0916524908033,94.7909126307009,0.0158804003850706
158,4.09043120103557,94.7206293633333,0.0159154733312988
159,4.08994215975369,94.6934989259392,0.0153567935242035
160,4.08923364904144,94.6519184974167,0.015322718069501
161,4.08904813628667,94.6467168109085,0.0143382235698185
162,4.08848069995027,94.6066532122465,0.0151983364990564
163,4.08760360750709,94.5518495244908,0.0158660537130405
164,4.0873743982836,94.5479229467088,0.0144726987457525
165,4.08732784754722,94.5481397549663,0.0138408469317149
166,4.0869753011015,94.5160564814493,0.0152079324517991
167,4.08646289301426,94.4867332535419,0.0152896237442593
168,4.08569088428924,94.4409242866134,0.0156068795113644
169,4.08509474758642,94.4079577505279,0.0152996935778737
170,4.08470624897876,94.3908935565603,0.0144831282743501
171,4.08450118357115,94.379272522907,0.0142202849380824
172,4.08370871936235,94.3225000713508,0.0156593035531161
173,4.0831946769732,94.2995409972466,0.0148416278843559
174,4.08270152229913,94.2722171324044,0.0146082977592116
175,4.08227141678685,94.2439348814867,0.0148726775915977
176,4.08194304537667,94.2226960756403,0.0150169741110185
177,4.0811151280042,94.1703039927029,0.0157558020718887
178,4.08076641870808,94.154800585599,0.0149767516497202
179,4.08037236621813,94.1317079540146,0.0149235545038423
180,4.07967998974726,94.0876842089934,0.0154438802135064
181,4.07876715164313,94.0336250336049,0.0157139403439687
182,4.07795732146357,93.9900725017621,0.0152890510542017
183,4.0770989275436,93.932885268432,0.0160343693468727
184,4.0765719848008,93.9059829851469,0.0154093965091748
185,4.07614035935541,93.8818073084076,0.0151155738930433
186,4.07550082472804,93.8479725997411,0.0147601635569814
187,4.07503147258591,93.8168583158279,0.0150148269900244
188,4.0744700416774,93.7818878728202,0.0153060254451654
189,4.07393586974542,93.7526418966294,0.0150894874607941
190,4.07308229674127,93.7003840776637,0.0155082968742282
191,4.07282013912504,93.6876159278486,0.014929715870763
192,4.07143094513043,93.5980382864367,0.0163984241301669
193,4.07113456588368,93.5892107848306,0.014993264442129
194,4.07079332333119,93.5692777382495,0.01478755258343
195,4.07052349645022,93.5532288724864,0.0147044609792257
196,4.07003255737104,93.5222079391695,0.0150473187994649
197,4.06971890084619,93.5035771078477,0.0150165659888797
198,4.06903641510786,93.4636366702936,0.0152107836233974
199,4.0687892638212,93.4505616061177,0.0148493395805308
200,4.06835696221764,93.4216449595308,0.0152930215118529
201,4.06795751340287,93.4056732150157,0.0144495737372393
202,4.06741593559863,93.3678990674585,0.015122487259424
203,4.06674716189193,93.3269587660671,0.0154393851026715
204,4.0661779760437,93.2996842822231,0.0147279746623738
205,4.06571736857068,93.2687756322783,0.0150360125982357
206,4.06493950269264,93.2167891223124,0.0159265453187981
207,4.064325438292,93.1879030380902,0.0151897580044847
208,4.06412498075188,93.1820819903263,0.0141970126713196
209,4.06390237864813,93.1644096149357,0.0145431505228407
210,4.06331062301649,93.1306576812166,0.0146404226193522
211,4.06250347924663,93.0761739032509,0.0156347614633596
212,4.06199882969877,93.050409462891,0.0151405024619461
213,4.06124635041337,93.0087866062234,0.0149388983733893
214,4.06057587330253,92.9667983544004,0.0151593912253183
215,4.06011427838004,92.9364649820903,0.0154196813418707
216,4.05982320421718,92.9235112716661,0.01481666759801
217,4.05923216614146,92.8888340019417,0.0149499216008218
218,4.05862996994385,92.8513343877675,0.0152240384283189
219,4.05828122896263,92.8348863832955,0.0146448090606954
220,4.05788072522869,92.8041568995446,0.0153432077548301
221,4.05758469486783,92.7906406923872,0.0148916729101753
222,4.05709603347578,92.7608978069417,0.01512161600243
223,4.05659987408759,92.7340236564591,0.0148986654376001
224,4.05596324905922,92.6978282800136,0.0148216811573665
225,4.05557979858764,92.6779216616626,0.0143984484965428
226,4.05522383310685,92.6545727219427,0.0145925168785638
227,4.05502961713382,92.6439541475899,0.0143587384124954
228,4.05475565829338,92.625159223458,0.0146645529292908
229,4.05398982071616,92.5714449395602,0.0159963373307482
230,4.05338679815191,92.5420537815992,0.0154030031068163
231,4.05285512482638,92.5140470518388,0.014962073177694
232,4.05235252824153,92.4821044711147,0.0151644732193627
233,4.05186146455411,92.4555099688846,0.0148679144894092
234,4.05114193273449,92.4137396203125,0.0149650984694669
235,4.05010005341003,92.3470426328549,0.0157975345787154
236,4.0493034260008,92.3005009907479,0.0157741892553125
237,4.04871094442375,92.2710883591796,0.0149986374780628
238,4.04834101218093,92.2473130872656,0.0150083935826258
239,4.04801493741448,92.2246175200985,0.0152963302127851
240,4.04738141188604,92.1925348609188,0.0149082405089947
241,4.04699926133035,92.1678069342654,0.015033414809404
242,4.04646154435674,92.1359634850349,0.0151373218653245
243,4.04609194387262,92.118755207574,0.0145286566786124
244,4.04557706398395,92.0834236594625,0.0151331824431926
245,4.04570691696839,92.0949619837967,0.0143255575752286
246,4.04530499377612,92.067636052663,0.014911465271028
247,4.04497670088401,92.0497250765366,0.0147961909995658
248,4.04420305581447,92.0036186991757,0.0151547028868163
249,4.04353190079586,91.9614850256971,0.0154954137974489
250,4.04316129143332,91.9414972100616,0.0151079674471619
251,4.04277492038728,91.9226988836149,0.0146098853174855
252,4.04232829855916,91.8949967221076,0.0147399229416452
253,4.04250762501028,91.9103866763427,0.013799874880039
254,4.04235622495596,91.8979074472891,0.0142347186202987
255,4.04212352261254,91.8802855536874,0.0148203767058079
256,4.0418096384356,91.8661690391473,0.0144395293997292
257,4.04134401652109,91.833694471623,0.0151101577742346
258,4.04095407030999,91.8155346501817,0.0146368569000977
259,4.03991146623164,91.7473922643463,0.0157208585170405
260,4.0394732548797,91.7314823336457,0.0144245803204913
261,4.03937789232759,91.72451677952,0.0142443805282832
262,4.03872157961005,91.6773410081365,0.0154542871131547
263,4.03805108433005,91.6426425635462,0.0151041904339644
264,4.03792931804919,91.64061821567,0.0141785163619711
265,4.03745732696526,91.6069986582459,0.0149153962137777
266,4.0364184989066,91.5411929693841,0.015872824778394
267,4.0358276977263,91.5097820279211,0.0154022018209413
268,4.03561726961946,91.5037829777618,0.0143585136038173
269,4.03525448759949,91.4782681677406,0.0147870296307199
270,4.03459066782111,91.4364461424129,0.015294996865839
271,4.03368879870316,91.3783896507788,0.01606168345721
272,4.0336447655513,91.3897307301179,0.0140960488392332
273,4.03309240264913,91.348665916794,0.0150841981161397
274,4.032184774868,91.2898927315857,0.0160351394905695
275,4.03144897423026,91.2527111760033,0.0154277803650095
276,4.03079273143999,91.2146686683585,0.0152740034647606
277,4.02999195490691,91.1635768074336,0.0157547058796987
278,4.02975772482521,91.1581535554538,0.0144990518136337
279,4.02971804733044,91.1577884645636,0.0139916335382894
280,4.02930111999598,91.1265565756935,0.0148618876652625
281,4.02906545624811,91.1202683845551,0.0140228644672922
282,4.02876467730698,91.0952429769165,0.0147910291997015
283,4.0289366677157,91.1114744301332,0.0138408736707895
284,4.02908051908207,91.1213858943496,0.013578258444664
285,4.02888477231507,91.1026273089937,0.0145602580123358
286,4.02846594562508,91.0828610154421,0.0142765920486815
